"TOP 15","Song Name","Streams","Artist","Artist Followers","Genre","Release Date","Popularity","Danceability","Energy","Loudness","Speechiness","Acousticness","Liveness","Tempo","Duration (ms)","Valence","Chord"
1,"Beggin'","48,633,449","Måneskin",3377762,"['indie rock italiano', 'italian pop']","2017-12-08",100,0.714,0.8,-4.808,0.0504,0.127,0.359,134.002,211560,0.589,"B"
1,"STAY (with Justin Bieber)","47,248,719","The Kid LAROI",2230022,"['australian hip hop']","2021-07-09",99,0.591,0.764,-5.484,0.0483,0.0383,0.103,169.928,141806,0.478,"C#/Db"
1,"good 4 u","40,162,559","Olivia Rodrigo",6266514,"['pop']","2021-05-21",99,0.563,0.664,-5.044,0.154,0.335,0.0849,166.928,178147,0.688,"A"
1,"Bad Habits","37,799,456","Ed Sheeran",83293380,"['pop', 'uk pop']","2021-06-25",98,0.808,0.897,-3.712,0.0348,0.0469,0.364,126.026,231041,0.591,"B"
1,"INDUSTRY BABY (feat. Jack Harlow)","33,948,454","Lil Nas X",5473565,"['lgbtq+ hip hop', 'pop rap']","2021-07-23",96,0.736,0.704,-7.409,0.0615,0.0203,0.0501,149.995,212000,0.894,"D#/Eb"
1,"MONTERO (Call Me By Your Name)","30,071,134","Lil Nas X",5473565,"['lgbtq+ hip hop', 'pop rap']","2021-03-31",97,0.61,0.508,-6.682,0.152,0.297,0.384,178.818,137876,0.758,"G#/Ab"
1,"Kiss Me More (feat. SZA)","29,356,736","Doja Cat",8640063,"['dance pop', 'pop']","2021-04-09",94,0.762,0.701,-3.541,0.0286,0.235,0.123,110.968,208867,0.742,"G#/Ab"
1,"Todo De Ti","26,951,613","Rauw Alejandro",6080597,"['puerto rican pop', 'trap latino']","2021-05-20",95,0.78,0.718,-3.605,0.0506,0.31,0.0932,127.949,199604,0.342,"D#/Eb"
1,"Yonaguni","25,030,128","Bad Bunny",36142273,"['latin', 'reggaeton', 'trap latino']","2021-06-04",96,0.644,0.648,-4.601,0.118,0.276,0.135,179.951,206710,0.44,"C#/Db"
1,"I WANNA BE YOUR SLAVE","24,551,591","Måneskin",3377762,"['indie rock italiano', 'italian pop']","2021-03-19",95,0.75,0.608,-4.008,0.0387,0.00165,0.178,132.507,173347,0.958,"C#/Db"
1,"Levitating (feat. DaBaby)","23,518,010","Dua Lipa",27142474,"['dance pop', 'pop', 'uk pop']","2020-10-01",89,0.702,0.825,-3.787,0.0601,0.00883,0.0674,102.977,203064,0.915,"F#/Gb"
1,"Qué Más Pues?","22,405,111","J Balvin, Maria Becerra",29051363,"['latin', 'reggaeton', 'reggaeton colombiano']","2021-05-28",95,0.891,0.819,-3.964,0.106,0.0261,0.173,101.968,217773,0.768,"G#/Ab"
1,"Permission to Dance","22,062,812","BTS",37106176,"['k-pop', 'k-pop boy group']","2021-07-09",95,0.702,0.741,-5.33,0.0427,0.00544,0.337,124.925,187585,0.646,"A"
1,"Peaches (feat. Daniel Caesar & Giveon)","20,294,457","Justin Bieber",48504126,"['canadian pop', 'pop', 'post-teen pop']","2021-03-19",94,0.677,0.696,-6.181,0.119,0.321,0.42,90.03,198082,0.464,"C"
1,"Butter","19,985,713","BTS",37106176,"['k-pop', 'k-pop boy group']","2021-06-04",95,0.759,0.459,-5.187,0.0948,0.00323,0.0906,109.997,164442,0.695,"G#/Ab"
1,"traitor","19,480,679","Olivia Rodrigo",6266514,"['pop']","2021-05-21",94,0.38,0.339,-7.885,0.0338,0.691,0.12,100.607,229227,0.0849,"D#/Eb"
1,"deja vu","18,571,755","Olivia Rodrigo",6266514,"['pop']","2021-05-21",93,0.442,0.612,-7.222,0.112,0.584,0.37,180.917,215507,0.178,"D"
1,"Save Your Tears (with Ariana Grande) (Remix)","18,053,141","The Weeknd",35305637,"['canadian contemporary r&b', 'canadian pop', 'pop']","2021-04-23",94,0.65,0.825,-4.645,0.0325,0.0215,0.0936,118.091,191014,0.593,"C"
1,"AM Remix","17,617,965","Nio Garcia, J Balvin, Bad Bunny",2123734,"['latin', 'reggaeton', 'trap latino']","2021-06-24",93,0.743,0.655,-5.015,0.159,0.114,0.0764,172.031,261335,0.785,"F#/Gb"
0,"Need To Know","16,908,917","Doja Cat",8640063,"['dance pop', 'pop']","2021-06-25",90,0.664,0.609,-6.509,0.0707,0.304,0.0926,130.041,210560,0.194,"C#/Db"
0,"Volando - Remix","16,606,925","Mora, Bad Bunny, Sech",151486,"['reggaeton', 'trap latino']","2021-07-08",91,0.659,0.688,-4.649,0.0673,0.207,0.113,153.979,273474,0.632,"F#/Gb"
0,"Ain't Shit","16,126,897","Doja Cat",8640063,"['dance pop', 'pop']","2021-06-25",90,0.855,0.488,-4.601,0.208,0.506,0.347,124.097,174253,0.619,"D#/Eb"
1,"drivers license","15,684,978","Olivia Rodrigo",6266514,"['pop']","2021-05-21",92,0.561,0.431,-8.81,0.0578,0.768,0.106,143.875,242013,0.137,"A#/Bb"
0,"Heat Waves","15,089,184","Glass Animals",1890510,"['gauze pop', 'indietronica', 'shiver pop']","2020-08-07",85,0.761,0.525,-6.9,0.0944,0.44,0.0921,80.87,238805,0.531,"B"
1,"Blinding Lights","15,011,809","The Weeknd",35305637,"['canadian contemporary r&b', 'canadian pop', 'pop']","2020-03-20",92,0.514,0.73,-5.934,0.0598,0.00146,0.0897,171.005,200040,0.334,"C#/Db"
1,"happier","14,849,078","Olivia Rodrigo",6266514,"['pop']","2021-05-21",92,0.395,0.443,-9.72,0.133,0.765,0.0839,168.924,175933,0.338,"F#/Gb"
0,"Pepas","14,809,458","Farruko",10502148,"['latin', 'latin hip hop', 'reggaeton', 'trap latino']","2021-06-24",92,0.762,0.766,-3.955,0.0343,0.00776,0.128,130.001,287120,0.442,"G"
0,"Motley Crew","14,329,162","Post Malone",33651775,"['dfw rap', 'melodic rap', 'rap']","2021-07-09",90,0.797,0.631,-3.818,0.0786,0.0904,0.0998,129.915,184213,0.288,"D#/Eb"
1,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit","14,273,637","Riton, Nightcrawlers",83689,"['dance pop', 'house', 'pop dance', 'tropical house', 'uk dance']","2021-01-15",92,0.824,0.862,-3.424,0.126,0.0076,0.303,122.98,169153,0.801,"D"
1,"Astronaut In The Ocean","14,174,752","Masked Wolf",365975,"['australian hip hop']","2021-01-06",89,0.778,0.695,-6.865,0.0913,0.175,0.15,149.996,132780,0.472,"E"
